Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,",",,2,,
2,"C5,C13",C_0201_0603Metric,2,1uF,
3,"C11,C15,C16,C12,C6,C10,C8,C14,C9,C7",C_0201_0603Metric,10,100nF,
4,"C17,C18",C_0201_0603Metric,2,15pF,
5,Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,
6,J1,TYPE-C-31-M-12,1,DATA,
7,"R6,R17,R7,R5,R8,R15,R16",R_0603_1608Metric,7,4k7R,
8,U9,TSSOP-20_4.4x6.5mm_P0.65mm,1,TXS0108EPW,
9,J2,TYPE-C-31-M-12,1,POWER,
10,"C2,C1,C4,C3",C_0201_0603Metric,4,10uF,
11,"R11,R3,R1,R10,R2",R_0603_1608Metric,5,5k1R,
12,D2,LED_0201_0603Metric,1,STATUS,
13,"R19,R18",R_0603_1608Metric,2,6k8R,
14,"U4,U8,U3,U7,U5,U6",MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,6,CH442E,
15,"R9,R4",R_0603_1608Metric,2,470R,
16,"R12,R14",R_0603_1608Metric,2,1kR,
17,"U12,U11",SOT-23-5,2,~,
18,U10,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
19,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
20,D1,LED_0201_0603Metric,1,PWR_LED,
21,R13,R_0603_1608Metric,1,10kR,
22,U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
